날짜,외기온도,외기습도
21. 6. 5 오후 2:30,21.70,97.50
21. 6. 5 오후 2:45,21.20,99.90
21. 6. 5 오후 3:00,21.00,99.90
21. 6. 5 오후 3:15,20.50,99.90
21. 6. 5 오후 3:30,19.90,99.90
21. 6. 5 오후 3:45,19.90,99.90
21. 6. 5 오후 4:00,19.80,99.90
21. 6. 5 오후 4:15,19.90,99.90
21. 6. 5 오후 4:30,20.20,99.90
21. 6. 5 오후 4:45,20.10,99.90
21. 6. 5 오후 5:00,19.90,100.00
21. 6. 5 오후 5:15,19.90,99.90
21. 6. 5 오후 5:30,20.30,99.90
21. 6. 5 오후 5:45,19.90,99.90
21. 6. 5 오후 6:00,19.80,99.90
21. 6. 5 오후 6:15,19.80,99.90
21. 6. 5 오후 6:30,19.80,99.90
21. 6. 5 오후 6:45,19.60,99.90
21. 6. 5 오후 7:00,20.20,99.90
21. 6. 5 오후 7:15,20.10,99.90
21. 6. 5 오후 7:30,19.80,99.90
21. 6. 5 오후 7:45,19.60,99.90
21. 6. 5 오후 8:00,18.80,99.90
21. 6. 5 오후 8:15,18.80,99.90
21. 6. 5 오후 8:30,18.70,99.90
21. 6. 5 오후 8:45,18.40,99.90
21. 6. 5 오후 9:00,18.20,99.90
21. 6. 5 오후 9:15,18.20,100.00
21. 6. 5 오후 9:30,18.20,99.90
21. 6. 5 오후 9:45,18.00,99.90
21. 6. 5 오후 10:00,18.00,99.90
21. 6. 5 오후 10:15,18.10,99.90
21. 6. 5 오후 10:30,18.10,99.90
21. 6. 5 오후 10:45,18.20,99.90
21. 6. 5 오후 11:00,18.20,99.90
21. 6. 5 오후 11:15,18.00,99.90
21. 6. 5 오후 11:30,18.00,99.90
21. 6. 5 오후 11:45,18.10,100.00
21. 6. 6 오전 12:00,,99.90
21. 6. 6 오전 12:15,17.70,99.90
21. 6. 6 오전 12:30,17.90,100.00
21. 6. 6 오전 12:45,18.00,99.90
21. 6. 6 오전 1:00,17.90,100.00
21. 6. 6 오전 1:15,,99.90
21. 6. 6 오전 1:30,17.90,99.90
21. 6. 6 오전 1:45,17.80,99.90
21. 6. 6 오전 2:00,,99.90
21. 6. 6 오전 2:15,17.80,99.90
21. 6. 6 오전 2:30,17.90,99.90
